id,geom,longitude,latitude,classname,time,img_received,utm_x,utm_y,utm_z,regionname_1,regionname_2,regionname_3,regionname_4,roadaddr,roadaddrnum,isprocessed,mb_serial,mt_serial
41566,0101000020E6100000B65D83614C2B60402CA48AEE8C034240,129.3530738,36.0277384,pothole,2024-07-16 08:49:02.19146+09,TRUE,36.027793,129.353114,50.706248,경상북도,포항시 북구,용흥동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41572,0101000020E6100000A7AC10B95B2B6040D47BF7A7AD024240,129.3549466,36.02092456,pothole,2024-07-16 09:06:59.217119+09,TRUE,36.020897,129.355007,42.994155,경상북도,포항시 북구,죽도동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41599,0101000020E6100000CB924E4D4C2B6040D03B200EFAFF4140,129.3530642,35.99981858,pothole,2024-07-16 12:46:43.504262+09,TRUE,35.999799,129.353,32.49418,경상북도,포항시 남구,연일읍,오천리,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41655,0101000020E610000072B8CF3D3D2C604083B7F96A4E004240,129.3824758,36.00239312,pothole,2024-07-17 07:04:18.596601+09,TRUE,36.002387,129.382404,33.229021,경상북도,포항시 남구,동촌동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41677,0101000020E61000003D889EC3DC2C60408B8FCF2532FF4140,129.4019487,35.99371789,pothole,2024-07-17 07:07:13.755303+09,TRUE,35.9937,129.401885,37.039147,경상북도,포항시 남구,청림동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41700,0101000020E6100000754D8FA40D2C6040708B26A619014240,129.3766654,36.00859525,pothole,2024-07-17 07:17:51.544774+09,TRUE,36.008536,129.376717,35.075491,경상북도,포항시 남구,송내동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41723,0101000020E610000051EC4416082B6040EF778705EF034240,129.3447372,36.03073186,pothole,2024-07-17 07:32:51.697366+09,TRUE,36.030666,129.344755,46.473907,경상북도,포항시 북구,학잠동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41724,0101000020E610000002F96AF3EA2A60405F3878CC56044240,129.3411805,36.03389889,pothole,2024-07-17 07:59:35.125391+09,TRUE,36.033958,129.341154,51.780147,경상북도,포항시 북구,득량동,NULL,양학로,149,FALSE,PDCToolV1,MTPohangPC7
41777,0101000020E6100000C4637917D02C604039038A0959FB4140,129.4004018,35.9636547,pothole,2024-07-17 08:20:34.952075+09,TRUE,35.963672,129.400335,66.892073,경상북도,포항시 남구,오천읍,문덕리,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41854,0101000020E6100000DDB8C768752B6040B94C4746BF034240,129.3580822,36.02927474,pothole,2024-07-17 09:43:28.600036+09,TRUE,36.029309,129.35802,21.813198,경상북도,포항시 북구,죽도동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41889,0101000020E6100000BF141691F92A60402F9DDEE342044240,129.3429647,36.03329132,pothole,2024-07-17 10:08:07.940197+09,TRUE,36.033238,129.343021,54.816923,경상북도,포항시 북구,학잠동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41906,0101000020E6100000323C4F2DFE2A6040AF5CB07B42034240,129.3435275,36.02546641,pothole,2024-07-17 11:04:19.900384+09,TRUE,36.025491,129.343453,85.196346,경상북도,포항시 남구,대잠동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
41916,0101000020E6100000C6F83066D22B6040EF116323C2044240,129.3694335,36.03717463,pothole,2024-07-17 11:16:00.446343+09,TRUE,36.037202,129.369361,32.983597,경상북도,포항시 북구,남빈동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
